College Name,College Code,Branch Name,Branch Code,Category,Percentile
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,GOPENH,36.8837265
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,GSCH,24.3196814
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,GNT2H,28.1605822
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,GOBCH,20.30613489
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,LOPENH,18.3037194
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,LOBCH,10.3871747
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,GOPENO,48.685155
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,GSCO,35.6963745
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,GOBCO,39.4227966
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,LOPENO,26.3890081
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,TFWS,56.7650587
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Chemical Engineering,110519110,EWS,14.33167495
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GOPENH,90.5818344
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GSCH,84.1949276
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GSTH,64.88612
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GNTIH,81.419415
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GOBCH,89.9192371
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,LOPENH,91.1864731
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,LSCH,88.4908068
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,LOBCH,90.8078665
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,PWDOPENH,42.8034319
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GOPENO,92.4845102
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GSCO,88.9823699
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GSTO,75.5818344
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,GOBCO,91.1038771
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,LOPENO,93.1586737
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,LSCO,90.0916175
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,LOBCO,92.2302229
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,TFWS,93.875689
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Computer Science and Engineering,110524210,EWS,89.2761636
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GOPENH,88.9823699
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GSCH,81.9823699
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GSTH,55.8902921
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GNT2H,83.1650789
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GOBCH,88.2761636
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,LOPENH,90.0916175
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,LSCH,84.8686155
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,LOBCH,89.5056823
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,PWDOPENH,40.0625702
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GOPENO,90.4382847
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GSCO,85.8374792
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GSTO,72.9031949
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,GOBCO,89.9192371
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,LOPENO,92.2302229
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,LSCO,87.7973797
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,LOBCO,91.1038771
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,DEFOPENS,77.0895554
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,TFWS,92.5142196
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Information Technology,110524610,EWS,88.2761636
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,GOPENH,72.9031949
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,GSCH,62.379539
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,GSTH,4.0235666
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,GNTIH,53.8556742
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,GOBCH,69.26243
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,LOPENH,75.4846587
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,LOBCH,70.9370842
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,GOPENO,80.2788844
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,GSCO,72.8897104
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,GOBCO,78.3496848
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,LOPENO,82.3797757
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,LSCO,78.482599
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,LOBCO,80.8718313
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,TFWS,83.34533
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electrical Engineering,110529310,EWS,68.2985361
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GOPENH,83.1650789
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GSCH,75.3508645
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GSTH,47.700538
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GNTIH,75.4846587
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GOBCH,82.3797757
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,LOPENH,85.0225065
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,LSCH,77.0895554
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,LOBCH,83.8902317
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,PWDOPENH,29.3528753
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GOPENO,86.402198
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GSCO,80.8718313
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GSTO,60.7344231
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,GOBCO,85.606492
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,LOPENO,87.0040046
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,LOBCO,86.4112198
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,TFWS,88.4908068
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Electronics and Telecommunication Engg,110537210,EWS,81.419415
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,GOPENH,54.1664697
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,GSCH,28.4814025
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,GSTH,9.26243
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,GNTIH,29.4195471
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,GOBCH,46.1727501
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,LOPENH,35.1475881
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,LOBCH,20.3613489
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,GOPENO,74.1181376
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,GSCO,64.88612
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,GOBCO,70.2135829
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,LOPENO,43.038429
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,TFWS,72.97104
"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",1105,Mechanical Engineering,110561210,EWS,22.317049
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,GOPENH,19.5474358
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,GSCH,8.6028034
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,GOBCH,10.3871747
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,LOPENH,12.429946
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,LOBCH,4.0235666
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,GOPENO,43.3061125
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,GOBCO,39.4227966
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,LOPENO,25.6367211
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,TFWS,56.3628587
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Civil Engineering,110619110,EWS,5.7244332
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,GOPENH,86.402198
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,GSCH,80.2788844
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,GSTH,59.4192464
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,GOBCH,85.606492
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,LOPENH,88.2761636
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,LSCH,84.8686155
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,LOBCH,87.0040046
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,PWDOPENH,7.0708457
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,GOPENO,89.5056823
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,GSCO,83.8902317
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,GSTO,70.9370842
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,GOBCO,88.9823699
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,LOPENO,91.1038771
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,LOBCO,90.0916175
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,TFWS,90.8078665
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Computer Science and Engineering,110624210,EWS,84.1949276
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,GOPENH,84.1949276
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,GSCH,78.482599
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,GOBCH,83.1650789
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,LOPENH,85.8374792
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,LSCH,81.9823699
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,LOBCH,85.0225065
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,GOPENO,87.7973797
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,GSCO,82.3797757
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,GOBCO,87.0040046
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,LOPENO,89.9192371
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,LOBCO,88.9823699
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,TFWS,89.5056823
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Information Technology,110624610,EWS,82.3797757
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,GOPENH,75.4846587
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,GSCH,68.2985361
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,GSTH,43.3061125
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,GOBCH,72.9031949
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,LOPENH,77.0895554
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,LOBCH,75.5818344
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,GOPENO,80.8718313
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,GSCO,72.8897104
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,GOBCO,78.3496848
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,LOPENO,82.3797757
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,LOBCO,81.419415
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,TFWS,83.1650789
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Electronics and Telecommunication Engg,110637210,EWS,71.2367422
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,GOPENH,28.4814025
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,GSCH,4.0235666
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,GOBCH,20.3613489
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,LOPENH,9.26243
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,LOBCH,12.429946
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,GOPENO,54.1664697
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,GSCO,35.6963745
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,GOBCO,46.1727501
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,LOPENO,29.4195471
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,TFWS,60.7344231
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1106,Mechanical Engineering,110661210,EWS,22.317049
"Sipna College of Engineering & Technology, Amravati",1107,Civil Engineering,110719110,MI,14.33167495
"Sipna College of Engineering & Technology, Amravati",1107,Civil Engineering,110719110,GOPENH,8.6028034
"Sipna College of Engineering & Technology, Amravati",1107,Civil Engineering,110719110,LOPENH,4.0235666
"Sipna College of Engineering & Technology, Amravati",1107,Civil Engineering,110719110,GOPENO,28.1605822
"Sipna College of Engineering & Technology, Amravati",1107,Civil Engineering,110719110,GOBCO,24.3196814
"Sipna College of Engineering & Technology, Amravati",1107,Civil Engineering,110719110,TFWS,43.3061125
"Sipna College of Engineering & Technology, Amravati",1107,Civil Engineering,110719110,EWS,12.429946
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,MI,84.1949276
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,GOPENH,77.0895554
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,GSCH,71.2367422
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,GOBCH,75.4846587
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,LOPENH,80.8718313
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,LOBCH,78.482599
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,GOPENO,82.3797757
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,GSCO,75.5818344
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,GOBCO,81.419415
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,LOPENO,85.0225065
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,LOBCO,83.1650789
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,TFWS,85.8374792
"Sipna College of Engineering & Technology, Amravati",1107,Computer Engineering,110724510,EWS,72.9031949
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,MI,81.9823699
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,GOPENH,72.9031949
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,GOBCH,70.9370842
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,LOPENH,75.5818344
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,LOBCH,75.3508645
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,GOPENO,78.3496848
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,GSCO,71.2367422
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,GOBCO,77.0895554
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,LOPENO,80.8718313
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,LOBCO,78.482599
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,TFWS,82.3797757
"Sipna College of Engineering & Technology, Amravati",1107,Information Technology,110724610,EWS,70.9370842
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,MI,62.379539
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,GOPENH,29.3528753
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,GSCH,24.3196814
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,GOBCH,20.30613489
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,LOPENH,18.3037194
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,LOBCH,10.3871747
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,GOPENO,48.685155
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,GSCO,35.6963745
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,GOBCO,39.4227966
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,LOPENO,26.3890081
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,TFWS,56.7650587
"Sipna College of Engineering & Technology, Amravati",1107,Electronics and Telecommunication Engg,110737210,EWS,14.33167495
"Sipna College of Engineering & Technology, Amravati",1107,Mechanical Engineering,110761210,MI,28.1605822
"Sipna College of Engineering & Technology, Amravati",1107,Mechanical Engineering,110761210,GOPENH,8.6028034
"Sipna College of Engineering & Technology, Amravati",1107,Mechanical Engineering,110761210,GOBCH,4.0235666
"Sipna College of Engineering & Technology, Amravati",1107,Mechanical Engineering,110761210,LOPENH,12.429946
"Sipna College of Engineering & Technology, Amravati",1107,Mechanical Engineering,110761210,GOPENO,29.4195471
"Sipna College of Engineering & Technology, Amravati",1107,Mechanical Engineering,110761210,GOBCO,25.6367211
"Sipna College of Engineering & Technology, Amravati",1107,Mechanical Engineering,110761210,TFWS,36.6417086
"Sipna College of Engineering & Technology, Amravati",1107,Mechanical Engineering,110761210,EWS,5.7244332